# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesRequested,1781546637878000000,1781546644002000000,9
MappedFileStorage.totalTimeSpentOnMappingUs,1781546637878000000,1781546644002000000,458676
FilePageCacheLockFree.totalNativeBytesAllocated,1781546637878000000,1781546644002000000,16384
FilePageCacheLockFree.totalPagesReadMs,1781546637878000000,1781546644002000000,0
FilePageCacheLockFree.totalPagesAllocated,1781546637878000000,1781546644002000000,2
FilePageCache.maxCacheSizeInBytes,1781546637878000000,1781546644002000000,199229440
StorageLockContext.competingThreads.max,1781546637878000000,1781546644002000000,10
FilePageCacheLockFree.totalPagesReclaimed,1781546637878000000,1781546644002000000,2
FilePageCacheLockFree.heapBytesInUse,1781546637878000000,1781546644002000000,0
DirectByteBufferAllocator.hits,1781546637878000000,1781546644002000000,3
FilePageCacheLockFree.housekeeperTurnsSkipped,1781546637878000000,1781546644002000000,4772
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781546637878000000,1781546644002000000,41959424
FilePageCacheLockFree.totalPageAllocationsWaited,1781546637878000000,1781546644002000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1781546637878000000,1781546644002000000,2
FilePageCacheLockFree.totalBytesRead,1781546637878000000,1781546644002000000,0
FilePageCacheLockFree.nativeBytesInUse,1781546637878000000,1781546644002000000,0
FilePageCache.totalPageDisposalsUs,1781546637878000000,1781546644002000000,1314
StorageLockContext.competingThreads.90P,1781546637878000000,1781546644002000000,0
FilePageCache.pageFastCacheHits,1781546637878000000,1781546644002000000,13388
DirectByteBufferAllocator.misses,1781546637878000000,1781546644002000000,192
FilePageCacheLockFree.totalPagesRequestsMs,1781546637878000000,1781546644002000000,2
FilePageCache.uncachedFileAccess,1781546637878000000,1781546644002000000,328
FilePageCacheLockFree.totalPagesWriteMs,1781546637878000000,1781546644002000000,0
FilePageCache.capacityInBytes,1781546637878000000,1781546644002000000,503316478
FilePageCacheLockFree.totalHeapBytesReclaimed,1781546637878000000,1781546644002000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1781546637878000000,1781546644002000000,13
FilePageCacheLockFree.totalPagesHandedOver,1781546637878000000,1781546644002000000,0
FilePageCache.pageLoads,1781546637878000000,1781546644002000000,193
MappedFileStorage.totalBytesMapped,1781546637878000000,1781546644002000000,0
FilePageCache.disposedBuffers,1781546637878000000,1781546644002000000,193
FilePageCache.pageLoadsAboveSizeThreshold,1781546637878000000,1781546644002000000,0
StorageLockContext.competingThreads.avg,1781546637878000000,1781546644002000000,0.8333333333333334
FilePageCache.maxRegisteredFiles,1781546637878000000,1781546644002000000,529
FileChannelInterruptsRetryer.totalRetriedAttempts,1781546637878000000,1781546644002000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781546637878000000,1781546644002000000,41959424
DirectByteBufferAllocator.disposed,1781546637878000000,1781546644002000000,150
FilePageCacheLockFree.housekeeperTurnsDone,1781546637878000000,1781546644002000000,15
FilePageCacheLockFree.totalPagesWritten,1781546637878000000,1781546644002000000,2
MappedFileStorage.totalPagesMapped,1781546637878000000,1781546644002000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1781546637878000000,1781546644002000000,16384
MappedFileStorage.storages,1781546637878000000,1781546644002000000,0
FilePageCache.pageHits,1781546637878000000,1781546644002000000,0
FilePageCacheLockFree.totalBytesRequested,1781546637878000000,1781546644002000000,73728
FilePageCacheLockFree.totalHeapBytesAllocated,1781546637878000000,1781546644002000000,0
DirectByteBufferAllocator.reclaimed,1781546637878000000,1781546644002000000,45
FilePageCache.totalPageLoadsUs,1781546637878000000,1781546644002000000,51393
FilePageCacheLockFree.totalBytesWritten,1781546637878000000,1781546644002000000,16
FlushQueue.waitingTimeAvgNs,1781546637878000000,1781546644002000000,5.3495254987510073E8
AWTEventQueue.dispatchTimeMaxNs,1781546637878000000,1781546644002000000,5234491391
NonBlockingReadAction.failedExecutionTimeUs,1781546637878000000,1781546644002000000,0
AWTEventQueue.dispatchTimeAvgNs,1781546637878000000,1781546644002000000,2857618.371167294
FlushQueue.queueSize90P,1781546637878000000,1781546644002000000,361
WriteAction.executionsCount,1781546637878000000,1781546644002000000,1
FlushQueue.waitingTimeMaxNs,1781546637878000000,1781546644002000000,3640655871
NonBlockingReadAction.failedExecutionsCount,1781546637878000000,1781546644002000000,0
FlushQueue.queueSizeAvg,1781546637878000000,1781546644002000000,110.9129734085415
FlushQueue.tasksExecuted,1781546637878000000,1781546644002000000,1241
ReadAction.executionsCount,1781546637878000000,1781546644002000000,48807
FlushQueue.queueSizeMax,1781546637878000000,1781546644002000000,457
FlushQueue.executionTimeMaxNs,1781546637878000000,1781546644002000000,16252927
AWTEventQueue.eventsDispatched,1781546637878000000,1781546644002000000,1859
NonBlockingReadAction.finalizedExecutionsCount,1781546637878000000,1781546644002000000,14
FlushQueue.executionTime90PNs,1781546637878000000,1781546644002000000,39423
NonBlockingReadAction.finalizedExecutionTimeUs,1781546637878000000,1781546644002000000,27905
AWTEventQueue.dispatchTime90PNs,1781546637878000000,1781546644002000000,20479
FlushQueue.executionTimeAvgNs,1781546637878000000,1781546644002000000,40261.087832393234
FlushQueue.waitingTime90PNs,1781546637878000000,1781546644002000000,2248146943
AWTEventQueue.dispatchTimeTotalNS,1781546637878000000,1781546644002000000,5323770109
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1781546637878000000,1781546644002000000,0
workspaceModel.save.cache.to.file.ms,1781546637878000000,1781546644002000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1781546637878000000,1781546644002000000,0
